prev_indices,next_indices,syllables,rhyme_id
4959 4962 3358 349 213 1834 4957 2378 3674 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5575 3906 3238 5443 5575 2093 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,212
5575 3906 3238 5443 5575 2093 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,744 4962 5402 2508 5567 4998 3349 210 3325 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,213
744 4962 5402 2508 5567 4998 3349 210 3325 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,744 4962 5402 4998 212 3906 1874 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,214
744 4962 5402 4998 212 3906 1874 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,744 4962 5402 4962 4410 448 2843 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,93
744 4962 5402 4962 4410 448 2843 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,832 744 4962 5402 4998 4987 3906 925 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,215
832 744 4962 5402 4998 4987 3906 925 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4243 2420 90 2721 1820 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,93
4243 2420 90 2721 1820 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3196 90 507 5473 158 2020 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,216
3196 90 507 5473 158 2020 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5208 5078 5511 4962 4107 4083 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,217
5208 5078 5511 4962 4107 4083 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2598 90 1991 5443 4962 622 2274 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,218
2598 90 1991 5443 4962 622 2274 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2671 3401 178 5606 5108 4533 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,219
2671 3401 178 5606 5108 4533 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3352 3630 1842 116 3269 3232 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,70
3352 3630 1842 116 3269 3232 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 3955 4962 1250 3330 3269 752 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,220
2375 3955 4962 1250 3330 3269 752 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1026 4650 2420 90 4638 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,221
1026 4650 2420 90 4638 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5511 3209 5061 213 3269 3212 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,221
5511 3209 5061 213 3269 3212 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3358 5536 1962 1409 2491 3349 4962 4861 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,222
3358 5536 1962 1409 2491 3349 4962 4861 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1268 5064 4441 213 4309 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,221
1268 5064 4441 213 4309 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2378 182 5064 234 3387 4951 3110 444 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,223
2378 182 5064 234 3387 4951 3110 444 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5484 577 346 2810 3294 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,16,224
5484 577 346 2810 3294 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4918 2994 2491 5405 5117 3374 5141 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,225
4918 2994 2491 5405 5117 3374 5141 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4538 2037 4368 2994 4962 1346 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,226
4538 2037 4368 2994 4962 1346 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4651 3349 1592 5533 5453 2375 5574 4337 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,62
4651 3349 1592 5533 5453 2375 5574 4337 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5240 3186 598 3256 3289 737 2009 4337 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,34
5240 3186 598 3256 3289 737 2009 4337 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 5383 1743 1962 4025 5240 4964 3284 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,34
2375 5383 1743 1962 4025 5240 4964 3284 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5066 90 3256 842 5064 5579 213 3672 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,227
5066 90 3256 842 5064 5579 213 3672 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4154 4902 1101 5511 4526 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,34
4154 4902 1101 5511 4526 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2992 2374 3269 3551 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,228
2992 2374 3269 3551 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,349 4967 2240 5536 5240 2824 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,229
349 4967 2240 5536 5240 2824 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4957 4989 2036 2994 4653 3349 4998 3636 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,229
4957 4989 2036 2994 4653 3349 4998 3636 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,922 4962 4087 3331 3256 4998 1129 4875 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,228
922 4962 4087 3331 3256 4998 1129 4875 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,90 5331 3256 1459 2420 3242 5604 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,230
90 5331 3256 1459 2420 3242 5604 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3186 5053 5383 5081 1238 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,231
3186 5053 5383 5081 1238 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3112 2420 90 5119 796 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,232
4962 3112 2420 90 5119 796 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1878 5443 5606 5004 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,233
1878 5443 5606 5004 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,436 3617 2420 4962 4516 2810 4112 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,234
436 3617 2420 4962 4516 2810 4112 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2420 4957 45 1414 4087 2224 2994 1104 3331 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,235
2420 4957 45 1414 4087 2224 2994 1104 3331 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,855 3349 2994 2810 4458 4029 4962 4116 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,148
855 3349 2994 2810 4458 4029 4962 4116 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4244 5471 737 4962 77 516 4951 5232 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,236
4244 5471 737 4962 77 516 4951 5232 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3258 5174 5064 4716 3186 3611 3462 3262 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,237
3258 5174 5064 4716 3186 3611 3462 3262 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3734 4089 297 389 1313 3782 4962 4241 4040 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,238
3734 4089 297 389 1313 3782 4962 4241 4040 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2876 5349 2343 3186 265 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,239
2876 5349 2343 3186 265 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4229 2420 3923 548 1334 1781 3186 871 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,240
4229 2420 3923 548 1334 1781 3186 871 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 879 258 2916 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,241
4962 879 258 2916 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 5328 2420 4962 2251 258 3497 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,242
4962 5328 2420 4962 2251 258 3497 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,548 2491 4597 4047 1745 3198 1560 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,243
548 2491 4597 4047 1745 3198 1560 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4336 258 4392 4962 5581 2798 1761 258 5398 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,243
4336 258 4392 4962 5581 2798 1761 258 5398 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4918 2994 2491 5405 5117 3374 1 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,243
2783 2011 4558 1532 3395 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2501 195 4962 2879 4957 776 1124 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,244
2501 195 4962 2879 4957 776 1124 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 4040 3726 2375 3814 4962 253 2420 4962 4148 3150 4875 101 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,245
4962 4040 3726 2375 3814 4962 253 2420 4962 4148 3150 4875 101 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,657 178 4962 5391 213 4962 855 3394 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15,34
657 178 4962 5391 213 4962 855 3394 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2209 1030 2378 1256 3266 2375 2036 4962 4144 2327 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,188
2209 1030 2378 1256 3266 2375 2036 4962 4144 2327 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4998 2491 1202 2422 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,246
4998 2491 1202 2422 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4815 744 3258 5511 4902 4957 1408 1453 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,0
4815 744 3258 5511 4902 4957 1408 1453 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4957 158 4962 1967 4957 5606 244 5064 2005 1958 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,190
4957 158 4962 1967 4957 5606 244 5064 2005 1958 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1739 2036 4962 1132 737 5606 4704 90 5476 507 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,247
1739 2036 4962 1132 737 5606 4704 90 5476 507 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3990 3330 5577 3349 3186 4428 5590 151 4337 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,95
4962 3990 3330 5577 3349 3186 4428 5590 151 4337 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1592 3151 2464 4962 2823 2491 307 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,34
1592 3151 2464 4962 2823 2491 307 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2810 397 2420 1220 5606 2673 5443 4962 4701 1390 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15,248
2810 397 2420 1220 5606 2673 5443 4962 4701 1390 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5405 2036 4962 1460 3349 5614 4294 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,111
5405 2036 4962 1460 3349 5614 4294 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 2673 5405 775 1958 5064 5606 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,46
5606 2673 5405 775 1958 5064 5606 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3522 5064 1625 3186 1473 213 1620 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,111
4962 3522 5064 1625 3186 1473 213 1620 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,213 4904 2375 4636 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,249
213 4904 2375 4636 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1010 4622 178 3401 2810 2779 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2,250
1010 4622 178 3401 2810 2779 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2501 90 1238 4602 5179 445 4962 1770 5606 4253 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,251
2501 90 1238 4602 5179 445 4962 1770 5606 4253 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2036 1592 4408 5533 3330 4962 2236 2375 3225 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,5
2036 1592 4408 5533 3330 4962 2236 2375 3225 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 1268 2375 646 4962 1268 2375 4253 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,206
4962 1268 2375 646 4962 1268 2375 4253 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2858 4520 2029 3349 5579 4962 1007 5530 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,5
2858 4520 2029 3349 5579 4962 1007 5530 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,975 816 832 2378 3358 4378 5521 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,69
975 816 832 2378 3358 4378 5521 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,467 2315 3687 3814 4965 2308 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,69
467 2315 3687 3814 4965 2308 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,552 90 2142 90 3046 2420 2899 2756 2032 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,69
552 90 2142 90 3046 2420 2899 2756 2032 3349 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5405 436 1403 4998 1814 1572 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,69
5405 436 1403 4998 1814 1572 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5460 5606 4993 5174 5064 1733 3394 5473 5606 775 4596 4962 4896 3349 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,252
5460 5606 4993 5174 5064 1733 3394 5473 5606 775 4596 4962 4896 3349 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2378 2420 1006 1720 2936 3048 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,17,253
2378 2420 1006 1720 2936 3048 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 1958 4962 910 8 4998 4337 2491 3899 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,254
5606 1958 4962 910 8 4998 4337 2491 3899 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3297 2783 2994 4023 617 5614 4812 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,255
3297 2783 2994 4023 617 5614 4812 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 1700 4957 5606 1958 5452 5606 3903 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,33
4962 1700 4957 5606 1958 5452 5606 3903 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2498 5383 3906 5606 4957 1344 213 5405 258 4520 176 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,125
2498 5383 3906 5606 4957 1344 213 5405 258 4520 176 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1081 4968 5606 776 449 2501 5272 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,66
1081 4968 5606 776 449 2501 5272 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4561 2757 5614 577 2810 90 1711 4125 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,152
4561 2757 5614 577 2810 90 1711 4125 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1257 3349 5614 349 5511 5614 1633 2856 5261 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,185
1257 3349 5614 349 5511 5614 1633 2856 5261 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4409 592 3865 5064 2503 5162 3598 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,133
4409 592 3865 5064 2503 5162 3598 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1878 4584 781 2375 187 1341 3944 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,89
1878 4584 781 2375 187 1341 3944 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2255 2473 2503 3243 3598 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,256
2255 2473 2503 3243 3598 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2916 2498 1104 1814 2049 3274 2891 1868 3725 1937 2991 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,89
2916 2498 1104 1814 2049 3274 2891 1868 3725 1937 2991 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,213 4957 4049 2877 213 4008 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,18,257
213 4957 4049 2877 213 4008 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2501 3285 1652 5064 4965 2378 4989 2375 1315 4962 2179 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,258
2501 3285 1652 5064 4965 2378 4989 2375 1315 4962 2179 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,657 2498 4962 3358 4983 5606 2642 2491 3700 5048 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,161
657 2498 4962 3358 4983 5606 2642 2491 3700 5048 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5276 5064 955 5511 1274 2375 5383 1485 1259 213 536 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,202
5276 5064 955 5511 1274 2375 5383 1485 1259 213 536 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4520 777 2994 438 2375 5254 4962 3446 2994 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,136
4520 777 2994 438 2375 5254 4962 3446 2994 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3445 2491 90 1666 5405 4537 5268 1898 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,5
4962 3445 2491 90 1666 5405 4537 5268 1898 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 1346 476 3938 4606 213 605 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,249
4962 1346 476 3938 4606 213 605 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 3225 90 1991 3330 2994 1868 4175 2420 3376 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,259
5606 3225 90 1991 3330 2994 1868 4175 2420 3376 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4885 4136 3349 325 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,260
4885 4136 3349 325 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,657 164 3349 5290 5452 5405 3422 788 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,261
657 164 3349 5290 5452 5405 3422 788 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1804 4962 2743 4932 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,262
1804 4962 2743 4932 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2699 1 2947 3330 4962 5590 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,263
3269 1067 3827 5405 1089 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1752 4270 90 3024 2485 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,264
1752 4270 90 3024 2485 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4472 2252 1425 2810 4064 2393 5606 4125 2420 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,265
4472 2252 1425 2810 4064 2393 5606 4125 2420 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,297 5614 1414 5452 5405 127 2252 5405 2026 531 2252 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,74
297 5614 1414 5452 5405 127 2252 5405 2026 531 2252 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5144 5064 657 2252 4362 2766 2252 2752 3186 2781 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,77
5144 5064 657 2252 4362 2766 2252 2752 3186 2781 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3642 1640 2615 12 2113 3269 1626 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,266
3642 1640 2615 12 2113 3269 1626 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2387 1446 3349 3186 896 213 2757 2417 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,97
2387 1446 3349 3186 896 213 2757 2417 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5444 90 4941 2393 5606 1408 4939 12 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,97
